school_name,school_city,school_state,school_type,school_div,school_domain,school_url
University of Alaska,Anchorage,AK,,,alaska.edu,http://alaska.edu
Alaska Christian College,Soldotna,AK,,,alaskacc.edu,http://alaskacc.edu
National Park Community College,Hot Springs National Park,AK,,,npcc.edu,http://npcc.edu
University of Alaska Fairbanks,Fairbanks,AK,NCAA,div2,uaf.edu,http://uaf.edu
University of Arkansas - Fort Smith,Fort Smith,AK,,,uafs.edu,http://uafs.edu
Alabama A&M University,Huntville,AL,,,aamu.edu,http://aamu.edu
Athens State University,Athens,AL,,,athens.edu,http://athens.edu
Auburn University,Auburn,AL,NCAA,div1,auburn.edu,http://auburn.edu
Auburn University at Montgomery,Montgomery,AL,NCAA,div2,aum.edu,http://aum.edu
Birmingham-Southern College,Birmingham,AL,,,bsc.edu,http://bsc.edu
Calhoun Community College,Decatur,AL,juco,div1,calhoun.edu,http://calhoun.edu
Enterprise State Community College,Enterprise,AL,juco,div1,escc.edu,http://escc.edu
Faulkner State Community College,Bay Minette,AL,,,faulknerstate.edu,http://faulknerstate.edu
Gadsden State Community College,Gadsden,AL,,,gadsdenstate.edu,http://gadsdenstate.edu
Huntingdon College,Montgomery,AL,NCAA,div3,huntingdon.edu,http://huntingdon.edu
Jacksonville State University,Jacksonville,AL,NCAA,div1,jsu.edu,http://jsu.edu
Lurleen B. Wallace Community College,Andalusia,AL,juco,div1,lbwcc.edu,http://lbwcc.edu
University of Montevallo,Montevallo,AL,NCAA,div2,montevallo.edu,http://montevallo.edu
Northeast Alabama Community College,Rainsville,AL,,,nacc.edu,http://nacc.edu
Northwest-Shoals Community College,Muscle Shoals,AL,,,nwscc.edu,http://nwscc.edu
Oakwood University,Huntsville,AL,,,oakwood.edu,http://oakwood.edu
Samford University,Birmingham,AL,NCAA,div1,samford.edu,http://samford.edu
Southeastern Bible College,Birmingham,AL,,,sebc.edu,http://sebc.edu
University of South Alabama,Mobile,AL,NCAA,div1,southalabama.edu,http://southalabama.edu
Trenholm State Technical College,Montgomery,AL,,,trenholmstate.edu,http://trenholmstate.edu
Troy University,Troy,AL,NCAA,div1,troy.edu,http://troy.edu
Tuskegee University,Tuskegee,AL,NCAA,div2,tuskegee.edu,http://tuskegee.edu
University of Alabama,Tuscaloosa,AL,NCAA,div1,ua.edu,http://ua.edu
University of Alabama at Birmingham,Birmingham,AL,NCAA,div1,uab.edu,http://uab.edu
University of Alabama in Huntsville,Huntsville,AL,NCAA,div2,uah.edu,http://uah.edu
University of North Alabama,Florence,AL,,,una.edu,http://una.edu
Snead State Community College,Boaz,AL,juco,div1,snead.edu,http://snead.edu
Arkansas Northeastern College,Blytheville,AR,,,anc.edu,http://anc.edu
Arkansas State University,Jonesboro,AR,NCAA,div1,astate.edu,http://astate.edu
Arkansas Tech University,Russellville,AR,NCAA,div2,atu.edu,http://atu.edu
Central Baptist College,Conway,AR,naia,div1,cbc.edu,http://cbc.edu
Harding University,Searcy,AR,NCAA,div2,harding.edu,http://harding.edu
Hendrix College,Conway,AR,NCAA,div3,hendrix.edu,http://hendrix.edu
Henderson State University,Arkadelphia,AR,NCAA,div2,hsu.edu,http://hsu.edu
John Brown University,Siloam Springs,AR,naia,div1,jbu.edu,http://jbu.edu
Lyon College,Batesville,AR,naia,div1,lyon.edu,http://lyon.edu
Mid-South Community College,West Memphis,AR,,,midsouthcc.edu,http://midsouthcc.edu
North Arkansas College,Harrison,AR,juco,div1,northark.edu,http://northark.edu
